"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.322829368,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.405779059,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.095771949,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.761315198,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.955563734,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.658784146,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.571061184,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.901970005,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.684904073,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.479896426,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.38689818,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.418195593,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.642689582,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.511719095,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-1.472015764,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",3.220668575,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.235724205,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q4",2.184471979,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.052939341,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",6.52844295,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.733513287,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.525013404,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.45780531,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.103523569,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.163996716,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.013643961,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.859526236,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.657105027,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.593041205,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.415665546,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.402566317,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-1.154160213,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.297025594,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-1.636818252,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.6876156,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.038325768,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.689358592,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.0059592,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.702243542,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.348290202,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.005322544,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.854552583,
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.228663315,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.352205559,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.108188446,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.26529089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.011760433,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.243047556,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.214511681,"P"
